Year,Month,Day,UTCHour,Seoul_PM10,Seoul_PM2.5,Beijing_PM2.5,Beijing_PM10,Seoul_NO2,Seoul_O3,Seoul_CO,Seoul_SO2,GW_LNG,GW_Coal,GG_LNG,GG_Coal,GG_Oil,GN_Coal,GN_Oil,GB_LNG,GB_Coal,Gwangju_LNG,Daegu_LNG,Daegu_Coal,Daegu_Oil,Daejeon_LNG,Daejeon_Oil,Busan_LNG,Busan_Coal,Seoul_LNG,Sejong_LNG,Ulsan_LNG,Ulsan_Oil,Incheon_LNG,Incheon_Coal,JN_LNG,JN_Coal,JB_LNG,JB_Coal,JB_Oil,Jeju_Oil,CN_LNG,CN_Coal,CN_Oil,CB_Oil,Jeju_LNG
2018,1,1,0,36.0,18.0,25.625,102.0,0.035945945945945953,0.010081081081081087,0.6444444444444444,0.005783783783783788,7003.0,46702.0,114569.0,1095.0,722.0,143844.0,183.0,0.0,2742.0,1784.0,362.0,0.0,0.0,450.0,609.0,1332.0,0.0,954.0,12245.0,20480.0,0.0,44377.0,111653.0,18300.0,26116.0,0.0,19139.0,404.0,6834.0,10867.0,290788.0,0.0,1107.0,
2018,1,1,1,36.0,18.0,33.54,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,35.0,17.0,45.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,34.0,18.0,58.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,34.0,18.0,68.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,34.0,17.0,66.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,34.0,19.0,59.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,35.0,19.0,60.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,8,35.0,19.0,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,9,35.0,19.0,55.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,10,33.0,17.0,72.55,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,11,37.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,12,39.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,13,36.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,38.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,50.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,57.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,56.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,55.0,26.0,38.62,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,52.0,23.0,33.96,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,50.0,24.0,29.68,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,21,48.0,25.0,24.47,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,22,50.0,27.0,19.45,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,23,51.0,28.0,16.91,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,0,52.0,28.0,17.15,65.0,0.04,0.009621621621621628,0.7702702702702704,0.005594594594594598,15290.0,38744.0,220946.0,1303.0,15178.0,159881.0,275.0,4481.0,2683.0,2403.0,5966.0,48.0,0.0,686.0,765.0,21781.0,102.0,945.0,11982.0,29246.0,16951.0,67030.0,112550.0,37175.0,28611.0,7107.0,19027.0,402.0,8006.0,21904.0,334588.0,0.0,721.0,
2018,1,2,1,51.0,29.0,22.74,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,2,49.0,29.0,33.56,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,3,49.0,29.0,48.04,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,4,49.0,28.0,55.54,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,5,47.0,28.0,54.1,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,6,48.0,27.0,51.09,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,49.0,29.0,49.45,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,8,49.0,30.0,53.53,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,9,54.0,33.0,48.7,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,10,58.0,33.0,48.41,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,62.0,33.0,49.98,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,55.0,28.0,48.04,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,42.0,24.0,46.81,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,14,34.0,19.0,45.99,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,15,32.0,15.0,45.47,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,16,31.0,15.0,39.91,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,17,30.0,16.0,40.56,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,18,29.0,15.0,37.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,19,27.0,12.0,27.41,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,20,25.0,10.0,21.48,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,21,23.0,13.0,18.57,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,22,22.0,13.0,14.02,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,23,26.0,17.0,14.07,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,0,28.0,18.0,13.11,26.0,0.026842105263157907,0.014500000000000008,0.5,0.005368421052631582,17401.0,39059.0,237802.0,1404.0,13141.0,164212.0,349.0,8662.0,2632.0,1372.0,7447.0,25.0,0.0,451.0,803.0,29066.0,156.0,926.0,12341.0,38770.0,23055.0,71936.0,113433.0,40121.0,31074.0,7873.0,19035.0,397.0,6160.0,28111.0,345349.0,0.0,322.0,
2018,1,3,1,32.0,20.0,14.17,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,2,33.0,20.0,13.24,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,3,34.0,20.0,18.51,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,4,34.0,20.0,24.84,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,5,34.0,19.0,23.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,6,37.0,21.0,18.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,7,37.0,21.0,15.38,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,8,40.0,21.0,14.76,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,9,42.0,22.0,15.11,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,10,40.0,18.0,15.61,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,11,39.0,18.0,15.81,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,12,37.0,18.0,13.13,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,13,35.0,17.0,12.33,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,14,35.0,18.0,13.52,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,15,34.0,17.0,14.19,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,16,34.0,17.0,19.34,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,17,37.0,20.0,20.48,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,18,35.0,19.0,19.02,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,19,32.0,19.0,15.35,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,20,33.0,19.0,11.03,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,21,31.0,18.0,10.27,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,22,33.0,18.0,9.53,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,23,34.0,19.0,9.91,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,0,35.0,19.0,11.72,30.0,0.038526315789473686,0.008736842105263163,0.6236842105263156,0.005500000000000003,17937.0,39043.0,248705.0,1410.0,17898.0,164620.0,288.0,9033.0,2636.0,2423.0,7542.0,30.0,78.0,644.0,764.0,38381.0,156.0,929.0,12205.0,39485.0,23255.0,78321.0,113399.0,43861.0,30976.0,10538.0,19094.0,393.0,7588.0,32898.0,340057.0,0.0,1128.0,
2018,1,4,1,36.0,20.0,12.07,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,2,35.0,19.0,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,3,35.0,18.0,19.63,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,4,36.0,18.0,25.33,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,5,36.0,18.0,23.18,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
