거래일자,지역,연료원, 발전량(MWh) 
2018-01-01,강원도,LNG,7003
2018-01-01,강원도,석탄,46702
2018-01-01,경기도,LNG,114569
2018-01-01,경기도,석탄,1095
2018-01-01,경기도,유류,722
2018-01-01,경상남도,석탄,143844
2018-01-01,경상남도,유류,183
2018-01-01,경상북도,LNG,0
2018-01-01,경상북도,석탄,2742
2018-01-01,광주시,LNG,1784
2018-01-01,대구시,LNG,362
2018-01-01,대구시,석탄,0
2018-01-01,대구시,유류,0
2018-01-01,대전시,LNG,450
2018-01-01,대전시,유류,609
2018-01-01,부산시,LNG,1332
2018-01-01,부산시,석탄,0
2018-01-01,서울시,LNG,954
2018-01-01,세종시,LNG,12245
2018-01-01,울산시,LNG,20480
2018-01-01,울산시,유류,0
2018-01-01,인천시,LNG,44377
2018-01-01,인천시,석탄,111653
2018-01-01,전라남도,LNG,18300
2018-01-01,전라남도,석탄,26116
2018-01-01,전라북도,LNG,0
2018-01-01,전라북도,석탄,19139
2018-01-01,전라북도,유류,404
2018-01-01,제주도,유류,6834
2018-01-01,충청남도,LNG,10867
2018-01-01,충청남도,석탄,290788
2018-01-01,충청남도,유류,0
2018-01-01,충청북도,유류,1107
2018-01-02,강원도,LNG,15290
2018-01-02,강원도,석탄,38744
2018-01-02,경기도,LNG,220946
2018-01-02,경기도,석탄,1303
2018-01-02,경기도,유류,15178
2018-01-02,경상남도,석탄,159881
2018-01-02,경상남도,유류,275
2018-01-02,경상북도,LNG,4481
2018-01-02,경상북도,석탄,2683
2018-01-02,광주시,LNG,2403
2018-01-02,대구시,LNG,5966
2018-01-02,대구시,석탄,48
2018-01-02,대구시,유류,0
2018-01-02,대전시,LNG,686
2018-01-02,대전시,유류,765
2018-01-02,부산시,LNG,21781
2018-01-02,부산시,석탄,102
2018-01-02,서울시,LNG,945
2018-01-02,세종시,LNG,11982
2018-01-02,울산시,LNG,29246
2018-01-02,울산시,유류,16951
2018-01-02,인천시,LNG,67030
2018-01-02,인천시,석탄,112550
2018-01-02,전라남도,LNG,37175
2018-01-02,전라남도,석탄,28611
2018-01-02,전라북도,LNG,7107
2018-01-02,전라북도,석탄,19027
2018-01-02,전라북도,유류,402
2018-01-02,제주도,유류,8006
